Job,Item,Material,Espesor,Cantidad,OCR,Clase,Longitud,Ancho,Alto,Volumen,Área Superficial
VA330O,3007,Steel,1.6875,1,VA330O-3007,Doblado,1.6875,74.5,6.484000000000001,1.2173633386983438,133.11806813227992
VA330O,3006,Steel,4.98570467487966,1,VA330O-3006,Doblado,30.619006967043898,75.45319999999997,4.98570467487966,5.0100044102145915,538.9818840228818
VA330O,3008,Steel,3.0900000000000007,1,VA330O-3008,Doblado,3.0900000000000007,74.5,7.140000000000001,1.3298293549922855,145.11009973637843
VA330O,3004,Steel,1.6875,1,VA330O-3004,Doblado,1.6875,4.875,73.63600000000002,1.0514625223944107,115.33622835546873
VA330O,"cage nut, reforzada_1",Steel,0.8374015748031495,3,"VA330O-cage nut, reforzada_1",Almacén,1.0,2.362204724409449,0.8374015748031495,0.006781589230795641,0.9584944833642685
VA330O,PAD 2_1,Steel,0.25,1,VA330O-PAD 2_1,Corte,2.0,0.25,0.7500000000000001,0.0034817451883944125,0.4053097245079959
VA330O,.375-16 X 1.00 stud_3,Steel,0.25,2,VA330O-.375-16 X 1.00 stud_3,Almacén,0.7500000000000001,0.25,0.25,0.0003681551230696391,0.06872233929700185
VA330O,.375-16 X 1.00 stud_2_1,Steel,0.37500000000000006,39,VA330O-.375-16 X 1.00 stud_2_1,Almacén,1.0,0.37500000000000006,0.37500000000000006,0.0011044653692089171,0.1398990478546109
VA330O,3005,Steel,2.1875000000000004,1,VA330O-3005,Doblado,2.1875000000000004,30.117400000000004,88.15739834599411,3.08227124904524,592.1358514880833
VA330O,3003,Steel,2.1875000000000004,1,VA330O-3003,Doblado,2.1875000000000004,30.117400000000004,88.15739834599411,3.082271208510221,592.1358437375976
VA330O,"ANSI B18.2.2 - 3_4 - 10, HNI_1",Steel,0.6410000000000002,6,"VA330O-ANSI B18.2.2 - 3_4 - 10, HNI_1",Almacén,1.125,0.6410000000000002,1.2990381056766576,0.0048838188347610605,0.5143409760176145
VA330O,3019_1,Steel,0.56,2,VA330O-3019_1,Almacén,4.5,14.25,0.56,0.04431805120071775,3.379889846601804
VA330O,3031,Steel,0.18750000000000003,2,VA330O-3031,Corte,0.18750000000000003,19.455000000000005,1.5000000000000002,0.054717147962279576,6.622312499973509
VA330O,3030,Steel,0.18750000000000003,1,VA330O-3030,Corte,0.18750000000000003,62.68298677093269,1.5000000000000002,0.17629577290479245,21.21175803510489
VA330O,3020,Steel,1.601,1,VA330O-3020,Doblado,1.601,30.455000000000002,75.966,2.609644969886604,524.3063383705421
VA330O,Hinge Bolt On Female_1,Steel,0.5118110236220471,6,VA330O-Hinge Bolt On Female_1,Almacén,0.5118110236220471,1.5059055118110236,3.0000000000000004,0.004265188900584724,0.9708488819338512
VA330O,515,Steel,0.11200000000000003,1,VA330O-515,Almacén,0.11200000000000003,1.375,1.375,0.001384754136239388,0.31545026358880207
VA330O,3022_1,Steel,0.18750000000000003,2,VA330O-3022_1,Corte,0.18750000000000003,1.5000000000000002,2.5,0.006519133863848546,0.8743377196995459
VA330O,.25-20  X .75_1,Steel,0.25,3,VA330O-.25-20  X .75_1,Almacén,0.7500000000000001,0.25,0.25,0.0003681551230696391,0.06872233929700185
VA330O,3033,Steel,0.18750000000000003,1,VA330O-3033,Corte,0.18750000000000003,70.08619664472579,1.5000000000000002,0.19711728562954933,23.710341367500057
VA330O,3032,Steel,0.18750000000000003,2,VA330O-3032,Corte,0.18750000000000003,37.0,1.5000000000000002,0.10406242480618577,12.54374999994981
VA330O,3022,Steel,1.5700000000000003,1,VA330O-3022,Doblado,1.5700000000000003,44.0,75.966,3.665997351017545,735.7501127002415
VA330O,3011,Steel,1.5000000000000002,2,VA330O-3011,Doblado,1.5000000000000002,2.8500000000000005,4.0,0.014557335136097322,3.154429299573604
VA330O,3044,Steel,1.78435080756888,1,VA330O-3044,Doblado,1.78435080756888,9.0,8.0,0.08056644406076952,15.816984603473575
